Mês/Ano,Remuneração Bruta (Base),Aportado,12% Ideal,Diferença (Débito),Correção Monetária,Total Corrigido
2021-03,2400.0,288.0,288.0,0.0,0.0,0.0
2021-04,3000.0,150.0,360.0,210.0,320.6375800965642,530.6375800965642
2021-05,3000.0,150.0,360.0,210.0,317.93513147899273,527.9351314789927
2021-06,3000.0,150.0,360.0,210.0,315.25546006841125,525.2554600684113
2021-07,3000.0,150.0,360.0,210.0,312.5983738903434,522.5983738903434
2021-08,3000.0,150.0,360.0,210.0,309.96368258834246,519.9636825883424
2021-09,3330.0,150.0,399.59999999999997,249.59999999999997,365.3088517791641,614.908851779164
2021-10,3330.0,150.0,399.59999999999997,249.59999999999997,362.22989764914644,611.8298976491465
2021-11,3330.0,166.5,399.59999999999997,233.09999999999997,335.4332291786483,568.5332291786483
2021-12,3330.0,249.15,399.59999999999997,150.44999999999996,214.67432159092004,365.12432159092
2022-01,14255.999999999998,712.8,1710.7199999999998,997.9199999999998,1411.912331107889,2409.832331107889
2022-02,14255.999999999998,712.8,1710.7199999999998,997.9199999999998,1400.0122271768855,2397.932227176885
2022-03,11880.0,594.0,1425.6,831.5999999999999,1156.8436846611187,1988.4436846611186
2022-04,5940.0,297.0,712.8,415.79999999999995,573.5466954194936,989.3466954194936
2022-05,5940.0,297.0,712.8,415.79999999999995,568.7126379965232,984.5126379965232
2022-06,9358.6,467.93,1123.032,655.1019999999999,888.4672362284657,1543.5692362284656
2022-07,6842.999999999999,342.15,821.1599999999999,479.0099999999999,644.1709997654509,1123.180999765451
2022-08,6842.999999999999,342.15,821.1599999999999,479.0099999999999,638.741695354934,1117.7516953549339
2022-09,6842.999999999999,342.15,821.1599999999999,479.0099999999999,633.3581510708319,1112.3681510708318
2022-10,6842.999999999999,342.15,821.1599999999999,479.0099999999999,628.0199812303739,1107.0299812303738
2022-11,6842.999999999999,342.15,821.1599999999999,479.0099999999999,622.7268034014614,1101.7368034014612
2022-12,6842.999999999999,342.15,821.1599999999999,479.0099999999999,617.4782383752716,1096.4882383752715
2023-01,7391.0,369.55,886.92,517.3699999999999,661.3059286625764,1178.6759286625763
2023-02,7391.0,369.55,886.92,517.3699999999999,655.73220492075,1173.10220492075
2023-03,7391.0,369.55,886.92,517.3699999999999,650.205458523302,1167.575458523302
2023-04,7391.0,369.55,886.92,517.3699999999999,644.7252935283113,1162.0952935283112
2023-05,7391.0,369.55,886.92,517.3699999999999,639.2913173309979,1156.661317330998
2023-06,10718.800000000001,535.94,1286.256,750.316,919.3182226822922,1669.6342226822921
2023-07,27722.399999999998,1386.12,3326.6879999999996,1940.5679999999998,2357.62443609729,4298.19243609729
2023-08,27722.399999999998,1386.12,3326.6879999999996,1940.5679999999998,2337.7535310830845,4278.321531083084
2023-09,11550.999999999998,577.55,1386.1199999999997,808.5699999999997,965.8542104954073,1774.424210495407
2023-10,9370.4,468.52,1124.4479999999999,655.9279999999999,776.9162786410024,1432.8442786410023
2023-11,7391.0,369.55,886.92,517.3699999999999,607.6358524719989,1125.0058524719989
2023-12,7391.0,369.55,886.92,517.3699999999999,602.5144793971233,1119.8844793971232
2024-01,7391.0,369.55,886.92,517.3699999999999,597.4362710928342,1114.806271092834
2024-02,7730.0,386.5,927.5999999999999,541.0999999999999,619.5722739541135,1160.6722739541133
2024-03,7730.0,386.5,927.5999999999999,541.0999999999999,614.3502964344209,1155.4502964344208
2024-04,7730.0,386.5,927.5999999999999,541.0999999999999,609.1723316156875,1150.2723316156876
2024-05,7730.0,386.5,927.5999999999999,541.0999999999999,604.0380085430716,1145.1380085430715
2024-06,7730.0,386.5,927.5999999999999,541.0999999999999,598.9469593882712,1140.0469593882713
2024-07,13861.199999999999,693.06,1663.3439999999998,970.2839999999999,1064.961231020505,2035.245231020505
2024-08,7730.0,386.5,927.5999999999999,541.0999999999999,588.8932269937277,1129.9932269937276
2024-09,7730.0,386.5,927.5999999999999,541.0999999999999,583.9298234940285,1125.0298234940283
2024-10,7730.0,386.5,927.5999999999999,541.0999999999999,579.0082533406331,1120.108253340633
2024-11,8088.999999999999,404.45,970.6799999999998,566.2299999999998,600.7920722080146,1167.0220722080144
2024-12,8088.999999999999,404.45,970.6799999999998,566.2299999999998,595.7283809697716,1161.9583809697715
2025-01,8088.999999999999,404.45,970.6799999999998,566.2299999999998,590.707368338891,1156.9373683388908
2025-02,8088.999999999999,404.45,970.6799999999998,566.2299999999998,585.7286746047506,1151.9586746047503
2025-03,12490.199999999999,624.51,1498.8239999999998,874.3139999999999,896.7990514975851,1771.1130514975848
2025-04,12490.199999999999,624.51,1498.8239999999998,874.3139999999999,889.2405071864998,1763.5545071864997
2025-05,12642.0,632.1,1517.04,884.9399999999999,892.4619899999999,1777.4019899999998
2025-06,0.0,0.0,0.0,0.0,0.0,0.0
